24.03.2018 18:mm, 6.115681270112644
04.04.2018 01:mm, 8.147058684192922
14.04.2018 09:mm, 9.22746624712664
21.04.2018 09:mm, 7.350538407683324
27.04.2018 19:mm, 54.803870711732486
23.04.2018 19:mm, 29.729416400646986
23.04.2018 10:mm, 13.811999234516534
23.04.2018 06:mm, 23.380311637926617
07.05.2018 11:mm, 59.327128903473366
17.05.2018 21:mm, 66.22439514918034
29.05.2018 15:mm, 99.67963037984647
09.06.2018 20:mm, 236.69128541114742
08.06.2018 02:mm, 141.52512938962693
05.06.2018 12:mm, 90.31922330798874
09.06.2018 22:mm, 415.7521075657517
16.06.2018 12:mm, 197.9872204654234
20.06.2018 16:mm, 109.75727329171292
21.06.2018 09:mm, 82.6354478505749
03.07.2018 01:mm, 77.0863366100076
10.07.2018 23:mm, 65.4134763094633
16.07.2018 19:mm, 89.67020968075559
23.07.2018 05:mm, 156.49731351198608
30.07.2018 06:mm, 167.79914018326988
08.08.2018 10:mm, 179.5393416647453
19.08.2018 05:mm, 127.23859846134049
30.08.2018 09:mm, 112.11635139565409
09.09.2018 21:mm, 216.39570043910496
05.09.2018 22:mm, 160.09566590088244
20.09.2018 16:mm, 181.28924650967738
30.09.2018 21:mm, 202.59153897483566
06.10.2018 10:mm, 289.11423002551135
12.10.2018 07:mm, 185.63893134670116
23.10.2018 03:mm, 155.8158226263774
02.11.2018 22:mm, 171.871456933265
13.11.2018 18:mm, 140.76614110547388
24.11.2018 10:mm, 164.5975648892351
04.12.2018 10:mm, 208.01130305868003
12.12.2018 15:mm, 278.30479729039564
15.12.2018 05:mm, 771.1613772168947
14.12.2018 20:mm, 467.82580969923185
19.12.2018 08:mm, 1273.2894881879138
28.12.2018 11:mm, 1711.7246721678325
02.01.2019 04:mm, 3535.525273608218
05.01.2019 02:mm, 5623.868942787235
04.01.2019 09:mm, 2019.9137384705555
15.01.2019 23:mm, 5851.160979153197
19.01.2019 05:mm, 7699.644083310563
26.01.2019 12:mm, 4165.876922809304
04.02.2019 10:mm, 3954.548680061606
11.02.2019 02:mm, 1989.2193128551557
17.02.2019 17:mm, 1625.2226489776403
19.02.2019 14:mm, 2257.3561500209576
24.02.2019 13:mm, 1391.0852456910459
01.03.2019 11:mm, 907.2464056469045
25.02.2019 12:mm, 610.9097977275302
08.03.2019 23:mm, 3910.5102163092874
05.03.2019 12:mm, 2270.7762243818183
05.03.2019 20:mm, 1581.7755126378875
19.03.2019 15:mm, 3530.429507765805
28.03.2019 02:mm, 2289.228716444183
05.04.2019 08:mm, 1611.7172396717922
16.04.2019 03:mm, 1856.3065812207203
26.04.2019 23:mm, 1847.3258039556697
07.05.2019 07:mm, 2385.287026746425
15.05.2019 04:mm, 2728.828301274081
20.05.2019 03:mm, 1857.0402690784024
26.05.2019 11:mm, 1187.0729454250188
06.06.2019 07:mm, 1231.1872608317346
15.06.2019 03:mm, 1341.0145444602822
24.06.2019 09:mm, 2098.4787841522525
02.07.2019 21:mm, 3308.563419049508
08.07.2019 17:mm, 6290.016951710171
13.07.2019 22:mm, 11029.126170771175
20.07.2019 05:mm, 12540.987925805714
25.07.2019 22:mm, 10247.408441273734
02.08.2019 23:mm, 20099.760305207514
11.08.2019 04:mm, 20859.58711979923
17.08.2019 07:mm, 38152.16736013028
27.08.2019 21:mm, 28335.995265602403
07.09.2019 16:mm, 24106.354874460343
18.09.2019 12:mm, 25386.20377585205
28.09.2019 13:mm, 21968.716654452735
30.09.2019 07:mm, 14588.911729705129
10.10.2019 21:mm, 24517.708118512946
17.10.2019 21:mm, 31810.8612204601
26.10.2019 11:mm, 23420.86617474367
27.10.2019 04:mm, 18402.88786092116
08.11.2019 08:mm, 18727.93657270627
16.11.2019 00:mm, 17941.75636674129
20.11.2019 06:mm, 13723.358528950495
30.11.2019 08:mm, 18309.79839743901
11.12.2019 09:mm, 19668.403483344133
20.12.2019 22:mm, 24301.993025616648
31.12.2019 17:mm, 21527.157964020356
11.01.2020 13:mm, 18612.318020646228
21.01.2020 03:mm, 15404.88148485958
30.01.2020 14:mm, 9645.596163594602
11.02.2020 01:mm, 8720.271027896539
18.02.2020 10:mm, 13853.615404311824
25.02.2020 17:mm, 19882.912150923104
07.03.2020 07:mm, 15895.996670031276
13.03.2020 16:mm, 14154.613500146934
18.03.2020 16:mm, 9751.846308551687
27.03.2020 08:mm, 8975.930290412132
06.04.2020 10:mm, 12129.485440649045
10.04.2020 06:mm, 7341.964198968675
09.04.2020 01:mm, 4436.750774460038
10.04.2020 12:mm, 3352.9844170108763
17.04.2020 14:mm, 29407.901731707854
15.04.2020 10:mm, 17852.248696091403
12.04.2020 00:mm, 14094.333785904104
18.04.2020 11:mm, 46465.59958674409
25.04.2020 10:mm, 138302.8233145623
23.04.2020 09:mm, 67879.19724899587
27.04.2020 07:mm, 344364.1407196581
26.04.2020 22:mm, 220545.59156744464
23.04.2020 11:mm, 28032.253349878687
29.04.2020 02:mm, 622991.2244948839
03.05.2020 18:mm, 2374574.171082328
03.05.2020 15:mm, 1405970.2791065937
03.05.2020 19:mm, 930349.3314811094
04.05.2020 15:mm, 4594644.350274912
15.05.2020 12:mm, 1379999.5393805543
14.05.2020 00:mm, 853225.9243708744
14.05.2020 17:mm, 596998.2297733938
13.05.2020 23:mm, 359378.878958776
20.05.2020 20:mm, 1424066.5589078274
25.05.2020 00:mm, 871260.5273319604
28.05.2020 03:mm, 586297.8053324713
06.06.2020 18:mm, 636612.6754821566
07.06.2020 13:mm, 1194430.1420716895
16.06.2020 20:mm, 364872.16436710017
